codigo,TipoVia,NombreVia,barrio,via,ViaCatastro
CL,CALLE,GALLEGOS,PUENTE TOCINOS,"CALLE GALLEGOS, PUENTE TOCINOS",GALLEGOS(CALLE) en PUENTE TOCINOS
CL,CALLE,GALVEZ,RAAL EL,"CALLE GALVEZ, RAAL EL",GALVEZ(CALLE) en RAAL EL
CL,CALLE,GALVEZ,TORREAGUERA,"CALLE GALVEZ, TORREAGUERA",GALVEZ(CALLE) en TORREAGUERA
CL,CALLE,GARCIA ALIX,MURCIA,"CALLE GARCIA ALIX, MURCIA",GARCIA ALIX(CALLE) en MURCIA
CL,CALLE,GARCIA CANALES,ALBERCA LA,"CALLE GARCIA CANALES, ALBERCA LA",GARCIA CANALES(CALLE) en ALBERCA LA
CL,CALLE,GARCIA LORCA,BENIAJAN,"CALLE GARCIA LORCA, BENIAJAN",GARCIA LORCA(CALLE) en BENIAJAN
CL,CALLE,GARCIA LORCA (ESPINARDO),MURCIA,"CALLE GARCIA LORCA (ESPINARDO), MURCIA",GARCIA LORCA (ESPINARDO)(CALLE) en MURCIA
CL,CALLE,GARCIA LORCA,SANGONERA SECA,"CALLE GARCIA LORCA, SANGONERA SECA",GARCIA LORCA(CALLE) en SANGONERA SECA
CL,CALLE,GARCIA MARTINEZ,MURCIA,"CALLE GARCIA MARTINEZ, MURCIA",GARCIA MARTINEZ(CALLE) en MURCIA
CL,CALLE,GARCIA MORATO,LOBOSILLO,"CALLE GARCIA MORATO, LOBOSILLO",GARCIA MORATO(CALLE) en LOBOSILLO
CL,CALLE,GARDENIAS,COBATILLAS,"CALLE GARDENIAS, COBATILLAS",GARDENIAS(CALLE) en COBATILLAS
CL,CALLE,GARDENIAS,EL PALMAR,"CALLE GARDENIAS, EL PALMAR",GARDENIAS(CALLE) en EL PALMAR
CL,CALLE,GARDENIAS(STA MARIA DE GR,MURCIA,"CALLE GARDENIAS(STA MARIA DE GR, MURCIA",GARDENIAS(STA MARIA DE GR(CALLE) en MURCIA
CL,CALLE,GARRUCHAL,SAN JOSE,"CALLE GARRUCHAL, SAN JOSE",GARRUCHAL(CALLE) en SAN JOSE
CL,CALLE,GAUDI,MURCIA,"CALLE GAUDI, MURCIA",GAUDI(CALLE) en MURCIA
CL,CALLE,GAVACHA,MURCIA,"CALLE GAVACHA, MURCIA",GAVACHA(CALLE) en MURCIA
CL,CALLE,GAVIOTA,MURCIA,"CALLE GAVIOTA, MURCIA",GAVIOTA(CALLE) en MURCIA
CL,CALLE,G EDC8 MURCIA,MURCIA,"CALLE G EDC8 MURCIA, MURCIA",G EDC8 MURCIA(CALLE) en MURCIA
CL,CALLE,GEMINIS,GUADALUPE,"CALLE GEMINIS, GUADALUPE",GEMINIS(CALLE) en GUADALUPE
CL,CALLE,GENERAL MARGALLO,MURCIA,"CALLE GENERAL MARGALLO, MURCIA",GENERAL MARGALLO(CALLE) en MURCIA
CL,CALLE,GENERAL MARTIN CARRERA,MURCIA,"CALLE GENERAL MARTIN CARRERA, MURCIA",GENERAL MARTIN CARRERA(CALLE) en MURCIA
CL,CALLE,GENERAL MOSCARDO,LOBOSILLO,"CALLE GENERAL MOSCARDO, LOBOSILLO",GENERAL MOSCARDO(CALLE) en LOBOSILLO
CL,CALLE,GENERAL MOSCARDO,RAAL EL,"CALLE GENERAL MOSCARDO, RAAL EL",GENERAL MOSCARDO(CALLE) en RAAL EL
CL,CALLE,GENERAL PALAREA,MURCIA,"CALLE GENERAL PALAREA, MURCIA",GENERAL PALAREA(CALLE) en MURCIA
CL,CALLE,GENERAL PRIETO,ALBERCA LA,"CALLE GENERAL PRIETO, ALBERCA LA",GENERAL PRIETO(CALLE) en ALBERCA LA
CL,CALLE,GENERAL PRIM,CABEZO TORRES,"CALLE GENERAL PRIM, CABEZO TORRES",GENERAL PRIM(CALLE) en CABEZO TORRES
CL,CALLE,GENERAL SANJURJO,RAAL EL,"CALLE GENERAL SANJURJO, RAAL EL",GENERAL SANJURJO(CALLE) en RAAL EL
CL,CALLE,GENERAL SANMARTIN,MURCIA,"CALLE GENERAL SANMARTIN, MURCIA",GENERAL SANMARTIN(CALLE) en MURCIA
CL,CALLE,GENERAL TORRES,CABEZO TORRES,"CALLE GENERAL TORRES, CABEZO TORRES",GENERAL TORRES(CALLE) en CABEZO TORRES
CL,CALLE,GENERAL YAGUE,LOBOSILLO,"CALLE GENERAL YAGUE, LOBOSILLO",GENERAL YAGUE(CALLE) en LOBOSILLO
CL,CALLE,GENERAL YAGUE,MURCIA,"CALLE GENERAL YAGUE, MURCIA",GENERAL YAGUE(CALLE) en MURCIA
CL,CALLE,GERANIOS,CARRASCOY,"CALLE GERANIOS, CARRASCOY",GERANIOS(CALLE) en CARRASCOY
CL,CALLE,GERANIOS,EL PALMAR,"CALLE GERANIOS, EL PALMAR",GERANIOS(CALLE) en EL PALMAR
CL,CALLE,GERANIOS,TORREAGUERA,"CALLE GERANIOS, TORREAGUERA",GERANIOS(CALLE) en TORREAGUERA
CL,CALLE,GERARDO DIEGO,BENIAJAN,"CALLE GERARDO DIEGO, BENIAJAN",GERARDO DIEGO(CALLE) en BENIAJAN
CL,CALLE,GERARDO DIEGO,LAS LUMBRERAS,"CALLE GERARDO DIEGO, LAS LUMBRERAS",GERARDO DIEGO(CALLE) en LAS LUMBRERAS
CL,CALLE,GERARDO DIEGO,ZENETA,"CALLE GERARDO DIEGO, ZENETA",GERARDO DIEGO(CALLE) en ZENETA
CL,CALLE,GIBRALTAR,ALGEZARES,"CALLE GIBRALTAR, ALGEZARES",GIBRALTAR(CALLE) en ALGEZARES
CL,CALLE,GILANDARIO,ALJUCER,"CALLE GILANDARIO, ALJUCER",GILANDARIO(CALLE) en ALJUCER
CL,CALLE,GINES DE BALIBREA,SANGONERA SECA,"CALLE GINES DE BALIBREA, SANGONERA SECA",GINES DE BALIBREA(CALLE) en SANGONERA SECA
CL,CALLE,GINES DE LA NETA,EL PALMAR,"CALLE GINES DE LA NETA, EL PALMAR",GINES DE LA NETA(CALLE) en EL PALMAR
